subject,session,target_hz,freq,psd
1,1,9,0.0,0.0009322129993247162
1,1,9,0.25,0.0012096585290903078
1,1,9,0.5,0.000908917436944549
1,1,9,0.75,0.0009151778792367461
1,1,9,1.0,0.0009236278944067853
1,1,9,1.25,0.0009349640803266416
1,1,9,1.5,0.000949190585754383
1,1,9,1.75,0.000965912987572342
1,1,9,2.0,0.0009861608298981867
1,1,9,2.25,0.0010098749027386599
1,1,9,2.5,0.0010379490107436577
1,1,9,2.75,0.0010692431728256166
1,1,9,3.0,0.0011062946866762708
1,1,9,3.25,0.0011491684807573193
1,1,9,3.5,0.0011938305555292488
1,1,9,3.75,0.0012261581239639797
1,1,9,4.0,0.0012875829510547651
1,1,9,4.25,0.0014034709595973256
1,1,9,4.5,0.0015662124791782112
1,1,9,4.75,0.0017856795168147133
1,1,9,5.0,0.001856560626841925
1,1,9,5.25,0.002278788742733693
1,1,9,5.5,0.002878009101891109
1,1,9,5.75,0.0038656512122194073
1,1,9,6.0,0.0059870612526156065
1,1,9,6.25,0.009072221308846995
1,1,9,6.5,0.016353334574543084
1,1,9,6.75,0.024058120387188495
1,1,9,7.0,0.04097578748421702
1,1,9,7.25,0.0924232355956509
1,1,9,7.5,0.20830008009345546
1,1,9,7.75,0.3192813574143515
1,1,9,8.0,0.4063482766425052
1,1,9,8.25,0.5618463407308181
1,1,9,8.5,0.7573564760987805
1,1,9,8.75,1.1894112367824912
1,1,9,9.0,2.4035880975263746
1,1,9,9.25,1.6532758375697654
1,1,9,9.5,1.4054115091987214
1,1,9,9.75,1.0918235908420972
1,1,9,10.0,1.4172730702981355
1,1,9,10.25,2.415371932417495
1,1,9,10.5,1.6609992519664092
1,1,9,10.75,0.725605052761514
1,1,9,11.0,0.5509006965195408
1,1,9,11.25,0.5172370402382732
1,1,9,11.5,0.7274373790670985
1,1,9,11.75,0.7697238115210074
1,1,9,12.0,0.4852581206081108
1,1,9,12.25,0.502414673998796
1,1,9,12.5,0.6495505601851684
1,1,9,12.75,0.6770352700628461
1,1,9,13.0,0.5390935849996205
1,1,9,13.25,0.4432350723472268
1,1,9,13.5,0.4854982401922496
1,1,9,13.75,0.5571880193363888
1,1,9,14.0,0.575257804487982
1,1,9,14.25,0.652615873321702
1,1,9,14.5,0.5766636960534814
1,1,9,14.75,0.5232912744679945
1,1,9,15.0,0.5593200225109183
1,1,9,15.25,0.6043797220730778
1,1,9,15.5,0.40678484298167994
1,1,9,15.75,0.3690460941299911
1,1,9,16.0,0.5828939479319288
1,1,9,16.25,0.5005571367704986
1,1,9,16.5,0.379883417089834
1,1,9,16.75,0.4348064407803563
1,1,9,17.0,0.5758564313886533
1,1,9,17.25,0.5910220224306552
1,1,9,17.5,0.5705374348085779
1,1,9,17.75,0.7717959545039589
1,1,9,18.0,1.546787383015357
1,1,9,18.25,0.8049807218094693
1,1,9,18.5,0.5632661682536085
1,1,9,18.75,0.6076770567634017
1,1,9,19.0,0.5375545819810905
1,1,9,19.25,0.5213668398694928
1,1,9,19.5,0.5617831358456877
1,1,9,19.75,0.689272121648717
1,1,9,20.0,0.4690612922517987
1,1,9,20.25,0.47594587097093105
1,1,9,20.5,0.8415270807171404
1,1,9,20.75,1.1628706822875106
1,1,9,21.0,0.9373313510505616
1,1,9,21.25,0.7050020321582022
1,1,9,21.5,0.7032832220254916
1,1,9,21.75,0.47557595373229755
1,1,9,22.0,0.4390517281062627
1,1,9,22.25,0.4199161806902987
1,1,9,22.5,0.47976555643217456
1,1,9,22.75,0.3980499064443173
1,1,9,23.0,0.35514169090979947
1,1,9,23.25,0.4098102155015826
1,1,9,23.5,0.4745717510132952
1,1,9,23.75,0.3731649424625219
1,1,9,24.0,0.29208348675343
1,1,9,24.25,0.22006632309295696
1,1,9,24.5,0.1825366222930882
1,1,9,24.75,0.44626935493361697
1,1,9,25.0,0.5718607012594201
1,1,9,25.25,0.28776399830907984
1,1,9,25.5,0.3487960177416234
1,1,9,25.75,0.38778162575844993
1,1,9,26.0,0.32306565307519586
1,1,9,26.25,0.28039139249057804
1,1,9,26.5,0.2722801825220564
1,1,9,26.75,0.3016836543200709
1,1,9,27.0,0.42798130564058584
1,1,9,27.25,0.305156326949893
1,1,9,27.5,0.21899818301955148
1,1,9,27.75,0.24374645631719286
1,1,9,28.0,0.21901671788648008
1,1,9,28.25,0.282929489063165
1,1,9,28.5,0.25430074131456804
1,1,9,28.75,0.18096300185843467
1,1,9,29.0,0.1829412340096832
1,1,9,29.25,0.16286728866456643
1,1,9,29.5,0.14084209493475922
1,1,9,29.75,0.16911649434148696
1,1,9,30.0,0.15074605510089584
1,1,9,30.25,0.17321058031062783
1,1,9,30.5,0.20915820367527727
1,1,9,30.75,0.21764245031178966
1,1,9,31.0,0.24321396022542627
1,1,9,31.25,0.1895700741116392
1,1,9,31.5,0.18227413554224037
1,1,9,31.75,0.16010554264866442
1,1,9,32.0,0.09890065622914275
1,1,9,32.25,0.11355812594715535
1,1,9,32.5,0.2291961764403946
1,1,9,32.75,0.1925504582085735
1,1,9,33.0,0.12618669459233564
1,1,9,33.25,0.11268377453490588
1,1,9,33.5,0.14639952534426628
1,1,9,33.75,0.18171187572592923
1,1,9,34.0,0.2785736918969164
1,1,9,34.25,0.26071294413803325
1,1,9,34.5,0.1740840627297302
1,1,9,34.75,0.17186047086732884
1,1,9,35.0,0.20060627740232814
1,1,9,35.25,0.25697157818697064
1,1,9,35.5,0.23021347779494128
1,1,9,35.75,0.1724556671371208
1,1,9,36.0,0.2592532769928801
1,1,9,36.25,0.18814897078397516
1,1,9,36.5,0.16155162569455406
1,1,9,36.75,0.20851680820258295
1,1,9,37.0,0.2454714206462587
1,1,9,37.25,0.19577685818907123
1,1,9,37.5,0.2330547688795704
1,1,9,37.75,0.2874123626778246
1,1,9,38.0,0.35022758347925353
1,1,9,38.25,0.31174521185609033
1,1,9,38.5,0.31439511597129294
1,1,9,38.75,0.3363317628655015
1,1,9,39.0,0.24057769162051112
1,1,9,39.25,0.21544210632325705
1,1,9,39.5,0.1810059270248411
1,1,9,39.75,0.09544900009669434
1,1,9,40.0,0.06783378426596406
1,1,9,40.25,0.08839206338563127
1,1,9,40.5,0.12618519067830478
1,1,9,40.75,0.17403099554506496
1,1,9,41.0,0.23105248598754233
1,1,9,41.25,0.17212502409875102
1,1,9,41.5,0.10826312928168046
1,1,9,41.75,0.14437604868167112
1,1,9,42.0,0.10463523108084104
1,1,9,42.25,0.09144472357246827
1,1,9,42.5,0.145310536303246
1,1,9,42.75,0.15897629050931392
1,1,9,43.0,0.18251167240538696
1,1,9,43.25,0.19025605030349374
1,1,9,43.5,0.16701810227263705
1,1,9,43.75,0.11923436614711191
1,1,9,44.0,0.11577556738005326
1,1,9,44.25,0.13422719052295567
1,1,9,44.5,0.10817875604727328
1,1,9,44.75,0.1189778163943247
1,1,9,45.0,0.20955357837555527
1,1,9,45.25,0.14313732800992873
1,1,9,45.5,0.09162726663383758
1,1,9,45.75,0.12744847682426366
1,1,9,46.0,0.11873524797009188
1,1,9,46.25,0.07774740848458066
1,1,9,46.5,0.05139807180375699
1,1,9,46.75,0.052251262843441754
1,1,9,47.0,0.055639191243927334
1,1,9,47.25,0.041551124081695825
1,1,9,47.5,0.026328535281827003
1,1,9,47.75,0.021996162761853982
1,1,9,48.0,0.026010977659742928
1,1,9,48.25,0.0262767582709078
1,1,9,48.5,0.018631316780298154
1,1,9,48.75,0.007776808826645689
1,1,9,49.0,0.0034660662541168134
1,1,9,49.25,0.0023640045306760893
1,1,9,49.5,0.0009456867686928607
1,1,9,49.75,0.0004688968700583409
1,1,9,50.0,0.00037025311373568924
1,1,9,50.25,0.0004453328902129269
1,1,9,50.5,0.0006801379808102704
1,1,9,50.75,0.001354902007815593
1,1,9,51.0,0.0037421432428362475
1,1,9,51.25,0.0059764214564430995
1,1,9,51.5,0.006125502454142824
1,1,9,51.75,0.012181461264746809
1,1,9,52.0,0.01092947430266085
1,1,9,52.25,0.005494358343896045
1,1,9,52.5,0.005864480516813527
1,1,9,52.75,0.008026337608252268
1,1,9,53.0,0.00893802520404371
1,1,9,53.25,0.007899320921111078
1,1,9,53.5,0.006673718296946658
1,1,9,53.75,0.010396569460436803
1,1,9,54.0,0.012903868334557386
1,1,9,54.25,0.008506239200925534
1,1,9,54.5,0.008778401359637322
1,1,9,54.75,0.01375843384981185
1,1,9,55.0,0.012211715566506853
1,1,9,55.25,0.007685752643582459
1,1,9,55.5,0.006527899984412568
1,1,9,55.75,0.005784561155324828
1,1,9,56.0,0.0046379979522685934
1,1,9,56.25,0.0036614304544179423
1,1,9,56.5,0.0027147873925864752
1,1,9,56.75,0.002818403440954237
1,1,9,57.0,0.0027787093342342434
1,1,9,57.25,0.0027132503116181813
1,1,9,57.5,0.0012542650342218622
1,1,9,57.75,0.0007499519423380396
1,1,9,58.0,0.0007512396380957548
1,1,9,58.25,0.0011838334410718145
1,1,9,58.5,0.001004013323131795
1,1,9,58.75,0.0007254271159619391
1,1,9,59.0,0.0005720136313585131
1,1,9,59.25,0.0006193711997111984
1,1,9,59.5,0.000736907253704834
1,1,9,59.75,0.0005962326406370457
1,1,9,60.0,0.00037545132555561725
1,1,9,60.25,0.00026718563334126336
1,1,9,60.5,0.00023207093052496518
1,1,9,60.75,0.00021354180215330014
1,1,9,61.0,0.0002979365508098927
1,1,9,61.25,0.0005097989211832874
1,1,9,61.5,0.0003686298797505427
1,1,9,61.75,0.00023199275799620818
1,1,9,62.0,0.00013853495841880344
1,1,9,62.25,0.00014866263299696448
1,1,9,62.5,0.00014259046367774488
1,1,9,62.75,0.00011805190873762523
1,1,9,63.0,0.00010847088697241516
1,1,9,63.25,0.00011015226092374783
1,1,9,63.5,0.00014321692652585543
1,1,9,63.75,0.0001215252436356791
1,1,9,64.0,8.325870807076411e-05
1,1,9,64.25,8.218975412071269e-05
1,1,9,64.5,7.146822645023873e-05
1,1,9,64.75,9.12794573767089e-05
1,1,9,65.0,8.292837687514686e-05
1,1,9,65.25,5.751336303107066e-05
1,1,9,65.5,6.281316375892853e-05
1,1,9,65.75,6.36652240785893e-05
1,1,9,66.0,6.492327129764624e-05
1,1,9,66.25,5.473505078979511e-05
1,1,9,66.5,5.2020004585942296e-05
1,1,9,66.75,5.300351203846542e-05
1,1,9,67.0,5.3727694716424615e-05
1,1,9,67.25,5.815973249991643e-05
1,1,9,67.5,4.8448697992776364e-05
1,1,9,67.75,4.292538321522312e-05
1,1,9,68.0,4.265442022331332e-05
1,1,9,68.25,4.591305603638818e-05
1,1,9,68.5,4.306530083012557e-05
1,1,9,68.75,4.1580441439106106e-05
1,1,9,69.0,3.8425384767826404e-05
1,1,9,69.25,3.947131187074726e-05
1,1,9,69.5,4.1634497726251485e-05
1,1,9,69.75,3.9912402184789724e-05
1,1,9,70.0,3.8442840349342266e-05
1,1,9,70.25,3.974365410405866e-05
1,1,9,70.5,3.937783615620832e-05
1,1,9,70.75,3.8332558106850284e-05
1,1,9,71.0,3.712510311844048e-05
1,1,9,71.25,3.691326154084696e-05
1,1,9,71.5,3.685701628780712e-05
1,1,9,71.75,3.597727197932704e-05
1,1,9,72.0,3.5795246362802275e-05
1,1,9,72.25,3.59765848693761e-05
1,1,9,72.5,3.520812656518131e-05
1,1,9,72.75,3.546628970138178e-05
1,1,9,73.0,3.545739415423298e-05
1,1,9,73.25,3.47100436402216e-05
1,1,9,73.5,3.4394194095897696e-05
1,1,9,73.75,3.393100941777184e-05
1,1,9,74.0,3.3817416994404635e-05
1,1,9,74.25,3.3891461833505274e-05
1,1,9,74.5,3.383874276626618e-05
1,1,9,74.75,3.331825515924015e-05
1,1,9,75.0,3.3055850743956505e-05
1,1,9,75.25,3.283853757511011e-05
1,1,9,75.5,3.254443908945815e-05
1,1,9,75.75,3.2257209384871996e-05
1,1,9,76.0,3.2200993164853374e-05
1,1,9,76.25,3.2285251729189245e-05
1,1,9,76.5,3.206975510983231e-05
1,1,9,76.75,3.2021027517318275e-05
1,1,9,77.0,3.1730158798933146e-05
1,1,9,77.25,3.1306900928028125e-05
1,1,9,77.5,3.114227068031763e-05
1,1,9,77.75,3.116497786388001e-05
1,1,9,78.0,3.0869734132424955e-05
1,1,9,78.25,3.067178413982869e-05
1,1,9,78.5,3.0496222385468263e-05
1,1,9,78.75,3.0341367931592914e-05
1,1,9,79.0,3.0284038663031774e-05
1,1,9,79.25,3.017514951862078e-05
1,1,9,79.5,2.9971629088382967e-05
1,1,9,79.75,2.9731844233433226e-05
1,1,9,80.0,2.960847875729047e-05
1,1,9,80.25,2.9458766927235797e-05
1,1,9,80.5,2.9198975556455518e-05
1,1,9,80.75,2.9044020982052953e-05
1,1,9,81.0,2.8885318413418423e-05
1,1,9,81.25,2.8790442756297975e-05
1,1,9,81.5,2.8623753890477863e-05
1,1,9,81.75,2.8480151042782077e-05
1,1,9,82.0,2.834159390960867e-05
1,1,9,82.25,2.822389383502784e-05
1,1,9,82.5,2.8097192810880142e-05
1,1,9,82.75,2.793546995112996e-05
1,1,9,83.0,2.7783179178025456e-05
1,1,9,83.25,2.7630655344217855e-05
1,1,9,83.5,2.7502058202702656e-05
1,1,9,83.75,2.7375488509611575e-05
1,1,9,84.0,2.7243818371750544e-05
1,1,9,84.25,2.712184620379185e-05
1,1,9,84.5,2.6999290272309343e-05
1,1,9,84.75,2.6887185653772786e-05
1,1,9,85.0,2.6761318281867682e-05
1,1,9,85.25,2.663574846610779e-05
1,1,9,85.5,2.651482839310096e-05
1,1,9,85.75,2.639327167674072e-05
1,1,9,86.0,2.6283090856632475e-05
1,1,9,86.25,2.6169660786222028e-05
1,1,9,86.5,2.6051815828602416e-05
1,1,9,86.75,2.594223877944542e-05
1,1,9,87.0,2.583168314832937e-05
1,1,9,87.25,2.5720204649439936e-05
1,1,9,87.5,2.5606508717489827e-05
1,1,9,87.75,2.550177883658925e-05
1,1,9,88.0,2.5399397298628304e-05
1,1,9,88.25,2.5293109160125e-05
1,1,9,88.5,2.519085891415385e-05
1,1,9,88.75,2.5090892777302134e-05
1,1,9,89.0,2.499154004897304e-05
1,1,9,89.25,2.489210800545565e-05
1,1,9,89.5,2.4795149107100513e-05
1,1,9,89.75,2.4698901192415387e-05
1,1,9,90.0,2.4604909558959376e-05
1,1,9,90.25,2.4513381850101307e-05
1,1,9,90.5,2.441960198663653e-05
1,1,9,90.75,2.4327457373119886e-05
1,1,9,91.0,2.423652098784276e-05
1,1,9,91.25,2.4146675722509128e-05
1,1,9,91.5,2.405982532675346e-05
1,1,9,91.75,2.3972217546653984e-05
1,1,9,92.0,2.388538688359064e-05
1,1,9,92.25,2.3801334113092273e-05
1,1,9,92.5,2.371757185634424e-05
1,1,9,92.75,2.3634069229925545e-05
1,1,9,93.0,2.355262673282639e-05
1,1,9,93.25,2.3472310691876494e-05
1,1,9,93.5,2.3392487505602675e-05
1,1,9,93.75,2.3313673168421564e-05
1,1,9,94.0,2.3235955799136205e-05
1,1,9,94.25,2.3158964223514113e-05
1,1,9,94.5,2.3083123964412055e-05
1,1,9,94.75,2.3008057592914142e-05
1,1,9,95.0,2.2933919876275733e-05
1,1,9,95.25,2.286038611906484e-05
1,1,9,95.5,2.2788363699463913e-05
1,1,9,95.75,2.2716907125802812e-05
1,1,9,96.0,2.2646498988993875e-05
1,1,9,96.25,2.25769224238023e-05
1,1,9,96.5,2.2508439591529575e-05
1,1,9,96.75,2.2440507342552703e-05
1,1,9,97.0,2.2373353993987878e-05
1,1,9,97.25,2.230716193079946e-05
1,1,9,97.5,2.2241918193212075e-05
1,1,9,97.75,2.217726432898009e-05
1,1,9,98.0,2.211360985760264e-05
1,1,9,98.25,2.20506406409551e-05
1,1,9,98.5,2.1988626801140346e-05
1,1,9,98.75,2.1927240810936288e-05
1,1,9,99.0,2.1866764357051205e-05
1,1,9,99.25,2.180688099704755e-05
1,1,9,99.5,2.1747801087124635e-05
1,1,9,99.75,2.1689547672608994e-05
1,1,9,100.0,2.1632084499307723e-05
1,1,9,100.25,2.1575200854124493e-05
1,1,9,100.5,2.1519094671313508e-05
1,1,9,100.75,2.1463706257154496e-05
1,1,9,101.0,2.1409111025129738e-05
1,1,9,101.25,2.1355246467777416e-05
1,1,9,101.5,2.1301833956531034e-05
1,1,9,101.75,2.124936079521796e-05
1,1,9,102.0,2.1197610653771632e-05
1,1,9,102.25,2.1146433398440688e-05
1,1,9,102.5,2.1095822345530525e-05
1,1,9,102.75,2.1046047508374328e-05
1,1,9,103.0,2.099695291451029e-05
1,1,9,103.25,2.0948447174162764e-05
1,1,9,103.5,2.0900512205777327e-05
1,1,9,103.75,2.0853364006259266e-05
1,1,9,104.0,2.0806765151740535e-05
1,1,9,104.25,2.076096122147733e-05
1,1,9,104.5,2.0715478214766696e-05
1,1,9,104.75,2.067088326472551e-05
1,1,9,105.0,2.0626842248870506e-05
1,1,9,105.25,2.0583400688585934e-05
1,1,9,105.5,2.0540519280751492e-05
1,1,9,105.75,2.049830398567978e-05
1,1,9,106.0,2.045666184466315e-05
1,1,9,106.25,2.0415652004749307e-05
1,1,9,106.5,2.0375144994786767e-05
1,1,9,106.75,2.033533588306094e-05
1,1,9,107.0,2.0295976538857083e-05
1,1,9,107.25,2.0257296125598e-05
1,1,9,107.5,2.0219179397432894e-05
1,1,9,107.75,2.018158881672251e-05
1,1,9,108.0,2.014451960309118e-05
1,1,9,108.25,2.0108088389023183e-05
1,1,9,108.5,2.007221620924431e-05
1,1,9,108.75,2.0036853360193886e-05
1,1,9,109.0,2.000202273239797e-05
1,1,9,109.25,1.996773690450954e-05
1,1,9,109.5,1.9934080267496476e-05
1,1,9,109.75,1.9900861707662398e-05
1,1,9,110.0,1.98681720961223e-05
1,1,9,110.25,1.9835987351228553e-05
1,1,9,110.5,1.98045196683392e-05
1,1,9,110.75,1.9773374056716406e-05
1,1,9,111.0,1.974275016195072e-05
1,1,9,111.25,1.971271543913174e-05
1,1,9,111.5,1.9683219398742305e-05
1,1,9,111.75,1.965413952020616e-05
1,1,9,112.0,1.9625628109821658e-05
1,1,9,112.25,1.9597535929263735e-05
1,1,9,112.5,1.9570106829265846e-05
1,1,9,112.75,1.9542999768790948e-05
1,1,9,113.0,1.9516486990953627e-05
1,1,9,113.25,1.9490387147536653e-05
1,1,9,113.5,1.946487917856461e-05
1,1,9,113.75,1.9439776048142897e-05
1,1,9,114.0,1.9415174941075426e-05
1,1,9,114.25,1.939105340050713e-05
1,1,9,114.5,1.936744220037684e-05
1,1,9,114.75,1.9344225611832005e-05
1,1,9,115.0,1.932157082460584e-05
1,1,9,115.25,1.92993437622031e-05
1,1,9,115.5,1.9277568540725612e-05
1,1,9,115.75,1.9256270414014897e-05
1,1,9,116.0,1.923549253863236e-05
1,1,9,116.25,1.9215115503188006e-05
1,1,9,116.5,1.91951655458955e-05
1,1,9,116.75,1.9175733337778833e-05
1,1,9,117.0,1.9156764406826076e-05
1,1,9,117.25,1.9138223335495705e-05
1,1,9,117.5,1.9120109539860574e-05
1,1,9,117.75,1.91024801181694e-05
1,1,9,118.0,1.9085283946509278e-05
1,1,9,118.25,1.906860652256971e-05
1,1,9,118.5,1.905218968662259e-05
1,1,9,118.75,1.9036392181903494e-05
1,1,9,119.0,1.9020996677331687e-05
1,1,9,119.25,1.900602102668328e-05
1,1,9,119.5,1.89914344779575e-05
1,1,9,119.75,1.8977362971422404e-05
1,1,9,120.0,1.8963706096777952e-05
1,1,9,120.25,1.895048734465146e-05
1,1,9,120.5,1.89376275402899e-05
1,1,9,120.75,1.892533629001188e-05
1,1,9,121.0,1.8913347144104827e-05
1,1,9,121.25,1.890188984015201e-05
1,1,9,121.5,1.8890756374369693e-05
1,1,9,121.75,1.888014316597126e-05
1,1,9,122.0,1.8869903570773164e-05
1,1,9,122.25,1.8860103464972943e-05
1,1,9,122.5,1.885071541543826e-05
1,1,9,122.75,1.8841788137445536e-05
1,1,9,123.0,1.8833249269194167e-05
1,1,9,123.25,1.882512834668429e-05
1,1,9,123.5,1.8817427637296745e-05
1,1,9,123.75,1.8810202458644872e-05
1,1,9,124.0,1.8803313473134355e-05
1,1,9,124.25,1.879686509837746e-05
1,1,9,124.5,1.8790907892368145e-05
1,1,9,124.75,1.8785289759374983e-05
1,1,9,125.0,1.8780087193816325e-05
1,1,9,125.25,1.8775328833567566e-05
1,1,9,125.5,1.8770999768283855e-05
1,1,9,125.75,1.876705619029268e-05
1,1,9,126.0,1.8763550986438742e-05
1,1,9,126.25,1.8760406167683403e-05
1,1,9,126.5,1.875778360265946e-05
1,1,9,126.75,1.8755460653233006e-05
1,1,9,127.0,1.875361878434058e-05
1,1,9,127.25,1.875213213698302e-05
1,1,9,127.5,1.8751168904081985e-05
1,1,9,127.75,1.8750509878159644e-05
